FERTIALT_NOM_ITK;;bleTH_precColzaH_argileux;bleTH_precColzaH_argileux;bleTH_precColzaH_argileux;bleTH_precColzaH_argilolimoneux;bleTH_precColzaH_argilolimoneux;bleTH_precColzaH_argilolimoneux;bleTH_precColzaH_limonosableux;bleTH_precColzaH_limonosableux;bleTH_precColzaH_limonosableux;bleTH_precColzaHPoisP_trouges;bleTH_precColzaHPoisP_trouges;bleTH_precColzaHPoisP_trouges;bleTH_precCultPrint_crayeux;bleTH_precCultPrint_crayeux;bleTH_precCultPrint_crayeux;bleTH_precCultPrint_trouges;bleTH_precCultPrint_trouges;bleTH_precCultPrint_trouges;bleTH_precMaisEnsil_argileux;bleTH_precMaisEnsil_argileux;bleTH_precMaisEnsil_argileux;bleTH_precMaisEnsil_argilolimoneux;bleTH_precMaisEnsil_argilolimoneux;bleTH_precMaisEnsil_argilolimoneux;bleTH_precMaisEnsil_limonosableux;bleTH_precMaisEnsil_limonosableux;bleTH_precMaisEnsil_limonosableux;colzaH_precCP_argileux;colzaH_precCP_argileux;colzaH_precCP_argilolimoneux;colzaH_precCP_argilolimoneux;colzaH_precCP_crayeux;colzaH_precCP_crayeux;colzaH_precCP_crayeux;colzaH_precCP_limonosableux;colzaH_precCP_limonosableux;colzaH_precCP_trouges;colzaH_precCP_trouges;colzaH_precCP_trouges;cultP_precCP_crayeux;cultP_precCP_trouges;maisEnsil_precCP_argileux;maisEnsil_precCP_argileux;maisEnsil_precCP_argileux;maisEnsil_precCP_argilolimoneux;maisEnsil_precCP_argilolimoneux;maisEnsil_precCP_argilolimoneux;maisEnsil_precCP_limonosableux;maisEnsil_precCP_limonosableux;maisEnsil_precCP_limonosableux;maisEnsilP_precCITritiVert_tousSols;maisEnsilP_precCITritiVert_tousSols;maisEnsilP_precCITritiVert_tousSols;orgeH_precCP_argileux;orgeH_precCP_argileux;orgeH_precCP_argilolimoneux;orgeH_precCP_argilolimoneux;orgeH_precCP_crayeux;orgeH_precCP_crayeux;orgeH_precCP_limonosableux;orgeH_precCP_limonosableux;orgeH_precCP_trouges;orgeH_precCP_trouges;orgeH_precMaisEnsil_argileux;orgeH_precMaisEnsil_argileux;orgeH_precMaisEnsil_argilolimoneux;orgeH_precMaisEnsil_argilolimoneux;orgeH_precMaisEnsil_limonosableux;orgeH_precMaisEnsil_limonosableux;orgep_precCiFeverole_argileux;orgep_precCiFeverole_argileux;orgep_precCiFeverole_argilolimoneux;orgep_precCiFeverole_argilolimoneux;orgeP_precCP_argileux;orgeP_precCP_argileux;orgeP_precCP_argilolimoneux;orgeP_precCP_argilolimoneux;orgeP_precCP_crayeux;orgeP_precCP_crayeux;orgeP_precCP_limonosableux;orgeP_precCP_limonosableux;orgeP_precCP_trouges;orgeP_precCP_trouges;tournesol_precAll_argileux;tournesol_precAll_argilolimoneux;tournesol_precAll_limonosableux;triticale_precColzaH_argileux;triticale_precColzaH_argileux;triticale_precColzaH_argileux;triticale_precColzaH_argilolimoneux;triticale_precColzaH_argilolimoneux;triticale_precColzaH_argilolimoneux;triticale_precColzaH_limonosableux;triticale_precColzaH_limonosableux;triticale_precColzaH_limonosableux;triticale_precMaisEnsil_argileux;triticale_precMaisEnsil_argileux;triticale_precMaisEnsil_argileux;triticale_precMaisEnsil_argilolimoneux;triticale_precMaisEnsil_argilolimoneux;triticale_precMaisEnsil_argilolimoneux;triticale_precMaisEnsil_limonosableux;triticale_precMaisEnsil_limonosableux;triticale_precMaisEnsil_limonosableux
FERTIALT_NOM_ALTERNATIVE;;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation organique;fertilisation organique;fertilisation organique;fertilisation organique;fertilisation organique;fertilisation organique;fertilisation organique;fertilisation organique;fertilisation organique;fertilisation organique;fertilisation organique;fertilisation organique;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale
FERTIALT_ORDRE_ALTERNATIVE;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
FERTIALT_ORDRE_APPORT;;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;1;2;1;2;3;1;2;1;2;3;1;1;1;2;3;1;2;3;1;2;3;1;2;3;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;1;1;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3
FERTIALT_NOM_PRODUIT;;AN;AN;AN;AN;AN;AN;N_solutions;AN;AN;AN;N_solutions;AN;NPK;N_solutions;AN;NPK;N_solutions;AN;AN;AN;AN;AN;AN;AN;N_solutions;AN;AN;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;PK;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;fumier bovin;AN;AN;fumier bovin;AN;AN;fumier bovin;AN;AN;fumier bovin;AN;AN;AN;AN;AN;AN;NP;N_solutions;AN;AN;NP;N_solutions;AN;AN;AN;AN;AN;AN;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions
FERTIALT_DOSE;DOSE;39.865;80.065;29.815;39.865;80.065;29.815;61.42;80.065;39.865;49.915;148;39.865;50;148;39.865;50;148;39.865;39.865;80.065;29.815;39.865;80.065;29.815;61.42;80.065;39.865;75.85;85.1;75.85;94.72;37;46.25;0;56.61;85.1;37;61.42;148;111;111;30;59.965;59.965;30;59.965;59.965;30;59.965;59.965;30;59.965;59.965;49.915;99.83;49.915;96.815;50;92.5;69.68;99.83;50;92.5;49.915;99.83;49.915;96.815;69.68;99.83;111;74;111;98.42;111;74;111;98.42;111;74;111;98.42;111;74;61.42;61.42;61.42;61.42;61.42;61.42;61.42;92.5;61.42;61.42;61.42;61.42;61.42;61.42;61.42;61.42;92.5;61.42;61.42;61.42;61.42
FERTIALT_DOSE_P;DOSE_P;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FERTIALT_DOSE_K;DOSE_K;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FERTIALT_PROF_WSOL;EFFET_RUs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FERTIALT_AGRIW;;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui
FERTIALT_OUTIL;;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;enfouisseur;0;0;enfouisseur;0;0;enfouisseur;0;0;enfouisseur;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
