ESPECE;maisPP;maisP;maisDP;maisDT;maisT;maisTT;maisEnsil;semence;tour;CP;BD;orgeh;orgep;pois;poisp;feverole;colza;sorgho;soja;prairiet;prairiep;betterave;pdt;vergers;prune;vignes;gel;orgeEnsil;orgeVert;ciPois;ciCruciLong;ciCruciCourt;ciVesce;ciRGI;TriticaleVert;ciSorgho;ciFeverole;prairieCP;triticale;ciTriticaleVert;culture_printemps;maisEnsilP;luzerne;arachide;mil
RENDEMENT_MOYEN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.8;NA;NA;0;NA;NA;NA;0;6.5;6.5;0;2.5;11.5;1.6;1.2;0.9
RENDEMENT_MIN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;NA;NA;0;NA;NA;NA;0;4;4;0;1.8;5;1.2;0.4;0.3
RENDEMENT_OPTIMAL;12;12;13;13;12;14;13;12;3.5;10;10.5;9;8;4;6;4.5;5;9.5;4;2;2;0;0;8;2;2;0;0;0;0;0;0;0;0;8;0;1.6;10;8;8;3.5;14;2;1.9;2.37
COULEUR_R;163;163;163;163;163;163;163;163;150;255;255;255;255;84;84;239;183;163;56;163;56;163;163;204;163;204;0;255;255;84;240;240;102;240;255;163;239;255;255;255;150;163;163;163;163
COULEUR_V;204;204;224;224;214;214;194;184;150;255;255;255;255;84;84;239;183;180;188;230;250;214;214;0;154;50;0;255;255;84;195;195;0;195;255;180;239;255;255;255;150;204;230;180;180
COULEUR_B;255;255;255;255;225;225;255;255;0;145;145;73;73;0;0;239;0;255;255;100;120;225;225;0;255;0;0;73;73;0;0;0;153;0;145;255;239;145;145;145;0;255;100;255;255
Tbase;6;6;6;6;6;6;6;6;4.8;0;0;0;0;0;0;0;0;6;5;0;0;3;2;0;0;0;0;0;0;0;0;1;4.1;0;0;6;0;0;0;0;4.8;6;0;10;10
Tmax;24;24;24;24;24;24;24;24;25;22;22;22;22;20;20;21;27;24;30;25;25;25;25;22;22;22;22;22;22;20;27;27;30;26;22;24;21;22;22;22;25;24;25;40;40
DEGRES_J_LevTbase;80;80;80;80;80;80;80;80;80;80;80;80;80;121;155;287;80;80;140;154;154;140;350;220;220;220;1000;80;80;121;80;125;160;154;80;80;287;80;80;80;80;80;154;55;51
DEGRES_J_Flor;825;875;900;1000;1015;1072;1000;900;1120;1300;1300;1150;860.25;900;848;1278;1450;1140;1450;1400;1400;1200;1015;2000;2000;2000;2000;1150;1150;900;1450;1200;2000;1400;1300;1140;1278;1300;1300;1300;1050;875;1400;705;832
DEGRES_J_matPhyTbase;1700;1745;1850;1910;1980;2070;1500;1850;1720;2015;2015;1850;1387.5;1705;1570;1866;2150;1915;2000;2170;2170;3360;2140;3100;3100;3100;0;1850;1850;1705;2150;1400;2200;2170;2015;1915;1866;2015;2015;2015;1630;1375;2170;1605;1315
FREIN;1;1;1;1;1;1;1;1;1;0.43;0.43;0.43;0.43;0.43;1;0.43;0.2;1;1;0.3;0.3;1;1;1;1;1;1;0.43;0.43;0.43;0.2;1;1;0.3;0.43;1;0.43;0.43;0.43;0.43;1;1;0.3;1;1
CRACINE;10;10;10;10;10;10;10;10;8;9;9;9;9;9;9;8;9;9;8;9;9;10;10;15;15;15;10;9;9;9;9;8;8;9;9;9;8;9;9;9;8;10;9;6;11
CVIG;0.7;1;0.8;0.9;1;0.98;0.9;0.8;1.29;1.1;1.1;1.1;1.1;0.6;0.6;1.3;1;0.9;1.3;0.5;1;0.73;0.82;0.8;0.8;0.8;0.9;1.1;1.1;0.6;1;0.7;1.5;1;1.1;0.9;1.3;1.1;1.1;1.1;1.29;1;0.5;0.6;1.5
KMAX;1.24;1.2;1.2;1.18;1.2;1.2;1.18;1.2;1;1.15;1.15;1.15;1.15;1.15;1.15;1.15;1.2;1.2;1.2;1.2;1.2;1.4;1.3;1;1;1;1.25;1.15;1.15;1.15;1.2;1;1.1;1.2;1.15;1.2;1.15;1.15;1.15;1.15;1;1.2;1.2;1.2;1.2
CSTO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
coeff_Fonction_Prod;2.8;2.8;2.8;2.8;2.8;2.8;2.1;2.8;1.2;1.3;1.3;1.3;1.3;2.1;1.2;3;2.1;2.4;2.1;3;3;2.8;2.8;3;3;3;3;1.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;1.3;NA;1.2;2.8;3;2.8;2.5
NA_col19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
NA_col36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;;;;;;;;;
